"id","LDR1","LDR2","button"
"4826","579","136","205"
"4827","579","136","203"
"4828","579","136","197"
"4829","579","136","203"
"4830","579","136","205"
"4831","580","137","206"
"4832","579","136","194"
"4833","579","136","192"
"4834","579","136","205"
"4835","580","137","203"
"4836","580","137","205"
"4837","580","137","203"
"4838","579","136","193"
"4839","580","137","194"
"4840","580","136","203"
"4841","580","137","204"
"4842","579","136","198"
"4843","579","136","193"
"4844","579","136","202"
"4845","579","136","203"
"4846","579","137","204"
"4847","580","137","205"
"4848","580","137","205"
"4849","580","137","194"
"4850","580","136","203"
"4851","579","136","203"
"4852","579","136","194"
"4853","579","136","195"
"4854","580","136","199"
"4855","580","137","205"
"4856","579","136","197"
"4857","579","136","193"
